locality,timestamp,temperature,humidity
AnnaNagar,2025-09-01 00:00:00,39.5,44
Velachery,2025-09-01 00:00:00,25.9,66
T.Nagar,2025-09-01 00:00:00,34.2,56
Adyar,2025-09-01 00:00:00,33.0,60
Guindy,2025-09-01 00:00:00,26.2,75
AnnaNagar,2025-09-01 00:01:00,39.8,56
Velachery,2025-09-01 00:01:00,31.1,66
T.Nagar,2025-09-01 00:01:00,38.5,72
Adyar,2025-09-01 00:01:00,38.9,48
Guindy,2025-09-01 00:01:00,36.6,80
AnnaNagar,2025-09-01 00:02:00,33.3,56
Velachery,2025-09-01 00:02:00,33.9,62
T.Nagar,2025-09-01 00:02:00,30.6,68
Adyar,2025-09-01 00:02:00,38.6,52
Guindy,2025-09-01 00:02:00,38.3,48
AnnaNagar,2025-09-01 00:03:00,31.0,78
Velachery,2025-09-01 00:03:00,38.4,46
T.Nagar,2025-09-01 00:03:00,38.3,75
Adyar,2025-09-01 00:03:00,34.9,62
Guindy,2025-09-01 00:03:00,29.6,42
AnnaNagar,2025-09-01 00:04:00,30.2,53
Velachery,2025-09-01 00:04:00,32.2,62
T.Nagar,2025-09-01 00:04:00,27.7,74
Adyar,2025-09-01 00:04:00,27.2,76
Guindy,2025-09-01 00:04:00,31.0,75
AnnaNagar,2025-09-01 00:05:00,30.4,46
Velachery,2025-09-01 00:05:00,28.2,80
T.Nagar,2025-09-01 00:05:00,34.8,67
Adyar,2025-09-01 00:05:00,30.4,75
Guindy,2025-09-01 00:05:00,36.6,79
AnnaNagar,2025-09-01 00:06:00,27.8,40
Velachery,2025-09-01 00:06:00,37.4,70
T.Nagar,2025-09-01 00:06:00,30.3,51
Adyar,2025-09-01 00:06:00,28.1,74
Guindy,2025-09-01 00:06:00,34.3,44
AnnaNagar,2025-09-01 00:07:00,29.1,49
Velachery,2025-09-01 00:07:00,33.2,74
T.Nagar,2025-09-01 00:07:00,37.6,78
Adyar,2025-09-01 00:07:00,37.1,54
Guindy,2025-09-01 00:07:00,37.4,41
AnnaNagar,2025-09-01 00:08:00,27.8,43
Velachery,2025-09-01 00:08:00,32.3,69
T.Nagar,2025-09-01 00:08:00,28.4,52
Adyar,2025-09-01 00:08:00,37.5,65
Guindy,2025-09-01 00:08:00,27.8,51
AnnaNagar,2025-09-01 00:09:00,26.2,58
Velachery,2025-09-01 00:09:00,25.4,47
T.Nagar,2025-09-01 00:09:00,29.3,76
Adyar,2025-09-01 00:09:00,32.8,80
Guindy,2025-09-01 00:09:00,26.2,70
AnnaNagar,2025-09-01 00:10:00,39.0,62
Velachery,2025-09-01 00:10:00,34.6,44
T.Nagar,2025-09-01 00:10:00,38.3,43
Adyar,2025-09-01 00:10:00,30.1,47
Guindy,2025-09-01 00:10:00,27.7,56
AnnaNagar,2025-09-01 00:11:00,33.3,70
Velachery,2025-09-01 00:11:00,28.3,42
T.Nagar,2025-09-01 00:11:00,26.3,40
Adyar,2025-09-01 00:11:00,27.3,75
Guindy,2025-09-01 00:11:00,37.4,65
AnnaNagar,2025-09-01 00:12:00,36.4,46
Velachery,2025-09-01 00:12:00,38.6,70
T.Nagar,2025-09-01 00:12:00,30.8,79
Adyar,2025-09-01 00:12:00,34.5,78
Guindy,2025-09-01 00:12:00,28.9,44
AnnaNagar,2025-09-01 00:13:00,34.9,67
Velachery,2025-09-01 00:13:00,35.2,46
T.Nagar,2025-09-01 00:13:00,39.1,69
Adyar,2025-09-01 00:13:00,37.3,70
Guindy,2025-09-01 00:13:00,30.4,65
AnnaNagar,2025-09-01 00:14:00,36.0,40
Velachery,2025-09-01 00:14:00,25.2,71
T.Nagar,2025-09-01 00:14:00,37.5,42
Adyar,2025-09-01 00:14:00,30.6,56
Guindy,2025-09-01 00:14:00,39.6,45
AnnaNagar,2025-09-01 00:15:00,26.6,63
Velachery,2025-09-01 00:15:00,33.4,67
T.Nagar,2025-09-01 00:15:00,26.3,66
Adyar,2025-09-01 00:15:00,36.2,76
Guindy,2025-09-01 00:15:00,34.5,74
AnnaNagar,2025-09-01 00:16:00,37.5,63
Velachery,2025-09-01 00:16:00,32.7,61
T.Nagar,2025-09-01 00:16:00,37.3,66
Adyar,2025-09-01 00:16:00,38.5,43
Guindy,2025-09-01 00:16:00,35.1,53
AnnaNagar,2025-09-01 00:17:00,31.3,41
Velachery,2025-09-01 00:17:00,26.6,62
T.Nagar,2025-09-01 00:17:00,37.3,68
Adyar,2025-09-01 00:17:00,36.8,79
Guindy,2025-09-01 00:17:00,38.5,71
AnnaNagar,2025-09-01 00:18:00,36.0,41
Velachery,2025-09-01 00:18:00,39.3,73
T.Nagar,2025-09-01 00:18:00,34.2,76
Adyar,2025-09-01 00:18:00,37.9,42
Guindy,2025-09-01 00:18:00,31.5,56
AnnaNagar,2025-09-01 00:19:00,34.7,48
Velachery,2025-09-01 00:19:00,25.4,62
T.Nagar,2025-09-01 00:19:00,25.0,54
Adyar,2025-09-01 00:19:00,36.6,65
Guindy,2025-09-01 00:19:00,34.0,45
AnnaNagar,2025-09-01 00:20:00,39.9,80
Velachery,2025-09-01 00:20:00,33.2,63
T.Nagar,2025-09-01 00:20:00,38.2,57
Adyar,2025-09-01 00:20:00,27.0,46
Guindy,2025-09-01 00:20:00,28.9,68
AnnaNagar,2025-09-01 00:21:00,32.3,80
Velachery,2025-09-01 00:21:00,36.9,69
T.Nagar,2025-09-01 00:21:00,33.8,63
Adyar,2025-09-01 00:21:00,31.2,73
Guindy,2025-09-01 00:21:00,26.0,47
AnnaNagar,2025-09-01 00:22:00,37.9,42
Velachery,2025-09-01 00:22:00,37.8,44
T.Nagar,2025-09-01 00:22:00,27.8,41
Adyar,2025-09-01 00:22:00,37.5,78
Guindy,2025-09-01 00:22:00,31.0,77
AnnaNagar,2025-09-01 00:23:00,39.7,59
Velachery,2025-09-01 00:23:00,39.4,65
T.Nagar,2025-09-01 00:23:00,29.4,53
Adyar,2025-09-01 00:23:00,39.2,41
Guindy,2025-09-01 00:23:00,34.9,72
AnnaNagar,2025-09-01 00:24:00,27.9,50
Velachery,2025-09-01 00:24:00,25.9,58
T.Nagar,2025-09-01 00:24:00,33.2,58
Adyar,2025-09-01 00:24:00,35.5,71
Guindy,2025-09-01 00:24:00,33.0,77
AnnaNagar,2025-09-01 00:25:00,29.0,44
Velachery,2025-09-01 00:25:00,35.5,63
T.Nagar,2025-09-01 00:25:00,38.2,49
Adyar,2025-09-01 00:25:00,32.1,72
Guindy,2025-09-01 00:25:00,36.1,71
AnnaNagar,2025-09-01 00:26:00,26.5,64
Velachery,2025-09-01 00:26:00,36.2,44
T.Nagar,2025-09-01 00:26:00,34.9,66
Adyar,2025-09-01 00:26:00,25.9,71
Guindy,2025-09-01 00:26:00,30.6,57
AnnaNagar,2025-09-01 00:27:00,37.8,65
Velachery,2025-09-01 00:27:00,38.6,73
T.Nagar,2025-09-01 00:27:00,25.9,53
Adyar,2025-09-01 00:27:00,36.6,46
Guindy,2025-09-01 00:27:00,33.3,73
AnnaNagar,2025-09-01 00:28:00,29.8,42
Velachery,2025-09-01 00:28:00,25.5,68
T.Nagar,2025-09-01 00:28:00,30.6,70
Adyar,2025-09-01 00:28:00,31.2,78
Guindy,2025-09-01 00:28:00,30.5,64
AnnaNagar,2025-09-01 00:29:00,30.0,54
Velachery,2025-09-01 00:29:00,32.6,79
T.Nagar,2025-09-01 00:29:00,25.5,62
Adyar,2025-09-01 00:29:00,31.2,58
Guindy,2025-09-01 00:29:00,30.1,51
AnnaNagar,2025-09-01 00:30:00,34.7,52
Velachery,2025-09-01 00:30:00,37.5,79
T.Nagar,2025-09-01 00:30:00,31.5,68
Adyar,2025-09-01 00:30:00,32.4,59
Guindy,2025-09-01 00:30:00,37.4,78
AnnaNagar,2025-09-01 00:31:00,33.7,49
Velachery,2025-09-01 00:31:00,31.3,57
T.Nagar,2025-09-01 00:31:00,33.4,66
Adyar,2025-09-01 00:31:00,31.3,76
Guindy,2025-09-01 00:31:00,28.1,72
AnnaNagar,2025-09-01 00:32:00,37.9,69
Velachery,2025-09-01 00:32:00,34.3,62
T.Nagar,2025-09-01 00:32:00,38.2,75
Adyar,2025-09-01 00:32:00,31.4,53
Guindy,2025-09-01 00:32:00,37.2,60
AnnaNagar,2025-09-01 00:33:00,35.5,80
Velachery,2025-09-01 00:33:00,29.2,59
T.Nagar,2025-09-01 00:33:00,38.7,48
Adyar,2025-09-01 00:33:00,30.0,69
Guindy,2025-09-01 00:33:00,36.0,41
AnnaNagar,2025-09-01 00:34:00,31.0,47
Velachery,2025-09-01 00:34:00,36.7,46
T.Nagar,2025-09-01 00:34:00,31.7,66
Adyar,2025-09-01 00:34:00,30.7,79
Guindy,2025-09-01 00:34:00,37.6,70
AnnaNagar,2025-09-01 00:35:00,29.4,75
Velachery,2025-09-01 00:35:00,36.5,77
T.Nagar,2025-09-01 00:35:00,30.1,50
Adyar,2025-09-01 00:35:00,35.3,52
Guindy,2025-09-01 00:35:00,31.7,42
AnnaNagar,2025-09-01 00:36:00,31.5,77
Velachery,2025-09-01 00:36:00,25.0,47
T.Nagar,2025-09-01 00:36:00,30.9,67
Adyar,2025-09-01 00:36:00,33.5,47
Guindy,2025-09-01 00:36:00,34.7,46
AnnaNagar,2025-09-01 00:37:00,35.6,78
Velachery,2025-09-01 00:37:00,36.4,43
T.Nagar,2025-09-01 00:37:00,31.4,64
Adyar,2025-09-01 00:37:00,38.2,65
Guindy,2025-09-01 00:37:00,32.7,45
AnnaNagar,2025-09-01 00:38:00,28.3,60
Velachery,2025-09-01 00:38:00,29.6,73
T.Nagar,2025-09-01 00:38:00,33.5,73
Adyar,2025-09-01 00:38:00,37.8,80
Guindy,2025-09-01 00:38:00,31.9,77
AnnaNagar,2025-09-01 00:39:00,34.2,64
Velachery,2025-09-01 00:39:00,37.3,73
T.Nagar,2025-09-01 00:39:00,31.7,43
Adyar,2025-09-01 00:39:00,33.0,77
Guindy,2025-09-01 00:39:00,30.2,52
AnnaNagar,2025-09-01 00:40:00,38.6,70
Velachery,2025-09-01 00:40:00,30.6,77
T.Nagar,2025-09-01 00:40:00,37.4,40
Adyar,2025-09-01 00:40:00,26.0,56
Guindy,2025-09-01 00:40:00,36.3,40
AnnaNagar,2025-09-01 00:41:00,35.5,54
Velachery,2025-09-01 00:41:00,26.6,65
T.Nagar,2025-09-01 00:41:00,28.6,48
Adyar,2025-09-01 00:41:00,25.5,59
Guindy,2025-09-01 00:41:00,29.2,44
AnnaNagar,2025-09-01 00:42:00,35.8,75
Velachery,2025-09-01 00:42:00,28.1,54
T.Nagar,2025-09-01 00:42:00,35.7,48
Adyar,2025-09-01 00:42:00,35.6,58
Guindy,2025-09-01 00:42:00,36.1,56
AnnaNagar,2025-09-01 00:43:00,27.4,69
Velachery,2025-09-01 00:43:00,29.2,80
T.Nagar,2025-09-01 00:43:00,37.4,65
Adyar,2025-09-01 00:43:00,30.7,70
Guindy,2025-09-01 00:43:00,32.5,77
AnnaNagar,2025-09-01 00:44:00,25.5,51
Velachery,2025-09-01 00:44:00,25.2,71
T.Nagar,2025-09-01 00:44:00,25.6,67
Adyar,2025-09-01 00:44:00,30.2,72
Guindy,2025-09-01 00:44:00,36.0,57
